First Name,Last Name,Lecture Section,Lab Section,Lab1,Lab2,Lab3,Lab4,Lab5,Lab6,Lab7,Lab8,Lab9,Lab10,Lab Points,Homework,Homework,Homework,Homework,Homework,Homework,Homework,Homework,Homework,Homework,Homework Points,Program1,Program2,Program3,Program4,Program5,Program6,Program Points,Test1,Test2,Test Points,Final Exam,Final Exam Points,Overall Percent,Final Grade
MAhlP,NhcxQ,CS140-001,CS140-021,8,6,9,7,9,8,8,8,7,7,7.70,8,7,7,6,7,6,9,6,7,6,6.90,70,60,80,90,60,90,22.50,70,80,22.50,60,12.0,71.6,C
OYRiZ,YyEcW,CS140-001,CS140-021,9,8,7,7,6,9,9,8,7,7,7.70,9,9,9,9,8,7,7,7,6,8,7.90,70,70,80,60,60,60,20.00,80,60,21.00,60,12.0,68.6,D
Hjtqn,tOpZN,CS140-001,CS140-021,9,6,9,7,7,6,6,8,7,9,7.40,6,6,9,6,9,8,7,9,6,9,7.50,80,90,90,80,70,90,25.00,90,90,27.00,90,18.0,84.9,B
oBLiI,oKUZc,CS140-001,CS140-021,6,6,7,9,8,6,7,7,7,6,6.90,8,6,8,9,6,7,7,7,9,6,7.30,90,70,70,90,60,60,22.00,70,60,19.50,90,18.0,73.69999999999999,C
KxEdN,dYMJu,CS140-001,CS140-021,8,9,6,8,8,8,7,9,7,8,7.80,7,6,8,6,8,9,6,6,9,8,7.30,80,70,80,60,70,80,22.00,90,60,22.50,80,16.0,75.6,C
PxPYF,yMint,CS140-001,CS140-021,7,9,7,8,9,6,8,9,7,9,7.90,6,6,9,9,6,7,9,6,6,6,7.00,90,90,70,90,70,60,23.50,90,70,24.00,70,14.0,76.4,C
jAfJL,epjYU,CS140-001,CS140-021,8,6,7,9,6,9,6,9,9,9,7.80,7,8,7,6,7,8,7,8,8,9,7.50,90,60,60,70,60,80,21.00,90,90,27.00,90,18.0,81.3,B
OTTSm,YFtvx,CS140-001,CS140-021,6,9,9,7,9,9,6,7,7,8,7.70,7,6,7,7,9,9,9,8,8,9,7.90,80,80,90,60,60,70,22.00,80,70,22.50,70,14.0,74.1,C
PmjxD,zPzMw,CS140-001,CS140-021,7,9,6,9,7,7,6,8,7,7,7.30,6,7,7,9,8,9,7,6,6,8,7.30,60,90,80,80,90,70,23.50,60,70,19.50,90,18.0,75.6,C
FfTfR,RerBj,CS140-001,CS140-021,9,8,9,7,9,6,8,9,8,8,8.10,6,6,9,8,6,6,8,9,9,8,7.50,90,70,70,90,90,90,25.00,60,60,18.00,90,18.0,76.6,C
XMaNy,kBaXu,CS140-001,CS140-021,9,6,7,9,8,9,6,8,9,8,7.90,9,9,8,6,9,7,7,6,7,8,7.60,80,60,80,60,70,70,21.00,90,90,27.00,60,12.0,75.5,C
uOdlM,jxfLn,CS140-001,CS140-021,9,7,8,8,9,8,7,7,6,6,7.50,7,8,7,7,7,8,6,6,8,9,7.30,90,60,90,60,80,60,22.00,60,80,21.00,60,12.0,69.8,D
HMQcG,qFnKX,CS140-001,CS140-021,8,6,7,7,7,7,6,9,7,9,7.30,8,8,7,9,7,9,7,7,7,7,7.60,80,60,70,80,80,90,23.00,90,70,24.00,80,16.0,77.9,C
Dbgus,kTfdK,CS140-001,CS140-021,6,6,8,6,7,9,6,9,7,8,7.20,9,9,6,8,9,8,6,6,6,8,7.50,60,90,60,90,70,90,23.00,70,70,21.00,90,18.0,76.7,C
VFXCg,DqDGq,CS140-001,CS140-021,8,6,6,7,9,6,6,6,9,8,7.10,9,6,6,9,8,8,6,7,8,8,7.50,90,90,70,60,70,60,22.00,60,60,18.00,80,16.0,70.6,C
WXfuN,ojavn,CS140-001,CS140-021,8,9,9,9,7,8,9,7,9,8,8.30,7,9,8,8,7,8,7,8,7,8,7.70,90,90,90,80,70,90,25.50,80,60,21.00,70,14.0,76.5,C
zvfUT,uZipM,CS140-001,CS140-021,6,8,9,7,8,9,8,7,7,8,7.70,7,8,6,8,9,6,9,6,9,8,7.60,60,80,60,80,90,60,21.50,90,80,25.50,90,18.0,80.3,B
tGkfx,gncIr,CS140-001,CS140-021,9,8,9,9,6,9,8,6,7,6,7.70,6,9,6,6,6,6,8,8,9,6,7.00,60,90,90,90,90,60,24.00,70,90,24.00,70,14.0,76.7,C
rMZkx,xZjQe,CS140-001,CS140-021,8,9,6,9,7,8,9,8,7,9,8.00,9,6,6,6,8,9,8,6,7,9,7.40,70,70,90,60,80,90,23.00,90,60,22.50,60,12.0,72.9,C
cCkGF,fiNcR,CS140-001,CS140-021,6,7,9,8,7,7,6,8,6,9,7.30,8,8,9,7,7,8,8,9,6,9,7.90,80,60,80,80,60,90,22.50,70,90,24.00,60,12.0,73.7,C
ULoSx,NInaN,CS140-001,CS140-021,6,6,6,9,7,6,9,8,6,9,7.20,6,9,7,7,8,7,6,8,9,6,7.30,60,80,60,60,60,60,19.00,80,60,21.00,70,14.0,68.5,D
VmhOT,VVTiQ,CS140-001,CS140-021,6,7,8,6,9,6,7,9,7,8,7.30,7,9,9,9,8,9,7,8,6,8,8.00,60,90,70,90,80,90,24.00,90,80,25.50,70,14.0,78.8,C
YYFUs,ajLiQ,CS140-001,CS140-021,7,7,8,7,8,8,6,7,6,8,7.20,8,8,8,6,6,6,7,9,6,8,7.20,70,80,60,90,80,90,23.50,70,70,21.00,60,12.0,70.9,C
yckrg,MIzMd,CS140-001,CS140-021,6,6,9,8,9,6,9,9,6,7,7.50,8,6,9,7,9,6,7,6,6,8,7.20,90,70,80,70,60,70,22.00,60,70,19.50,70,14.0,70.19999999999999,C
kpWRB,KGmOt,CS140-001,CS140-021,8,6,7,8,6,6,8,7,6,6,6.80,7,9,9,9,8,8,6,8,7,9,8.00,60,90,80,60,90,80,23.00,70,60,19.50,90,18.0,75.3,C
vCKcI,kToCr,CS140-001,CS140-021,6,9,9,6,7,7,7,8,7,7,7.30,6,6,6,8,8,6,7,6,6,9,6.80,90,70,90,80,60,60,22.50,80,80,24.00,80,16.0,76.6,C
SxeNF,ndoDE,CS140-001,CS140-021,9,7,6,6,7,8,9,9,7,7,7.50,9,7,8,7,7,6,6,9,9,8,7.60,60,60,90,60,90,80,22.00,90,90,27.00,60,12.0,76.1,C
aFxJU,bewOv,CS140-001,CS140-021,7,8,9,9,6,6,9,8,6,9,7.70,9,8,7,9,7,7,7,7,6,7,7.40,70,60,90,60,70,80,21.50,80,80,24.00,60,12.0,72.6,C
NjYtF,jezYZ,CS140-001,CS140-021,8,7,9,8,6,7,8,6,8,9,7.60,7,8,7,6,9,9,9,7,6,6,7.40,90,70,60,60,60,90,21.50,60,70,19.50,60,12.0,68.0,D
EdHLS,DsVMF,CS140-001,CS140-021,8,7,8,6,9,9,8,6,6,9,7.60,8,9,9,8,6,6,7,9,8,7,7.70,90,90,70,60,70,80,23.00,70,90,24.00,90,18.0,80.3,B
aDNkV,jZvJe,CS140-001,CS140-021,8,8,8,7,7,9,9,9,9,9,8.30,9,6,8,6,9,9,9,6,6,8,7.60,70,80,80,90,90,60,23.50,90,60,22.50,90,18.0,79.9,C
SCbTD,QcSBt,CS140-001,CS140-021,8,8,7,8,6,7,7,9,8,6,7.40,6,7,8,7,6,9,8,8,9,7,7.50,60,60,90,80,70,60,21.00,70,90,24.00,60,12.0,71.9,C
oujZc,NTaPS,CS140-001,CS140-021,6,8,7,8,7,7,8,9,7,9,7.60,6,6,8,6,9,9,8,6,9,7,7.40,90,70,80,80,80,80,24.00,90,80,25.50,90,18.0,82.5,B
cOwuI,OycXe,CS140-001,CS140-021,6,9,6,9,7,6,8,6,9,7,7.30,7,8,6,9,8,8,9,6,6,6,7.30,70,80,90,80,70,80,23.50,60,80,21.00,80,16.0,75.1,C
upNXp,xfDIk,CS140-001,CS140-021,7,6,9,9,6,7,9,6,9,9,7.70,7,7,9,6,9,8,7,9,7,6,7.50,70,60,80,60,90,90,22.50,80,80,24.00,90,18.0,79.7,C
vAuJq,XEnRb,CS140-001,CS140-021,9,8,6,7,6,8,9,7,6,9,7.50,7,9,7,9,8,7,6,9,8,8,7.80,80,90,60,80,60,60,21.50,90,80,25.50,90,18.0,80.3,B
PlkEG,xpvoC,CS140-001,CS140-021,7,9,9,9,8,9,6,9,7,8,8.10,8,6,6,7,7,7,9,7,8,6,7.10,80,60,70,70,80,70,21.50,60,80,21.00,70,14.0,71.7,C
CKreZ,Cemka,CS140-001,CS140-021,6,6,9,7,8,6,9,9,6,9,7.50,8,7,6,6,8,7,7,7,8,7,7.10,80,70,70,70,90,80,23.00,60,70,19.50,90,18.0,75.1,C
GSePf,rkbNL,CS140-001,CS140-021,8,6,9,6,7,6,7,8,7,9,7.30,8,6,6,7,9,6,6,9,9,7,7.30,60,80,80,60,90,90,23.00,80,90,25.50,80,16.0,79.1,C
tlToB,dTCPx,CS140-001,CS140-021,8,9,9,8,8,7,8,8,6,9,8.00,9,6,7,6,8,7,9,7,8,9,7.60,90,70,70,80,90,70,23.50,80,70,22.50,70,14.0,75.6,C
ZQJwE,LBlKd,CS140-001,CS140-021,6,6,8,8,9,9,9,6,8,8,7.70,9,6,6,7,8,9,9,7,7,8,7.60,70,80,70,90,80,80,23.50,90,80,25.50,90,18.0,82.3,B
PIsEn,cKoAb,CS140-001,CS140-021,9,6,8,9,9,9,8,7,7,8,8.00,9,7,8,9,7,9,6,7,9,8,7.90,60,60,90,90,80,70,22.50,80,80,24.00,70,14.0,76.4,C
QqNDj,bNeND,CS140-001,CS140-021,7,7,7,8,8,6,7,9,9,8,7.60,6,9,6,8,8,8,8,8,6,9,7.60,60,70,60,70,70,90,21.00,90,80,25.50,90,18.0,79.7,C
JNzRF,VIpOF,CS140-001,CS140-021,9,9,6,6,9,8,8,7,9,7,7.80,9,7,7,7,7,7,7,6,6,6,6.90,70,70,90,60,90,60,22.00,60,80,21.00,80,16.0,73.69999999999999,C
hxeMl,hBzQt,CS140-001,CS140-021,8,9,9,7,8,7,9,7,6,7,7.70,9,9,9,7,7,9,7,6,6,6,7.50,80,60,80,90,60,80,22.50,80,90,25.50,90,18.0,81.2,B
